Maravilla,Latitud,Longitud
Cristo Redentor,-22.951,-43.2065
Machu Picchu,-13.163068,-72.545128
La Gran Muralla China,40.4319077,116.5703749
Ciudad de Petra,30.32896,35.444832
Taj Mahal,27.173891,78.042068
El Coliseo romano,41.8902102,12.4922309
Chichen Itza,20.6842849,-88.5677826
